,skills_clean,education,experience_years,job_role
0,"('market research', 'maven', 'java', 'rest api', 'spring boot', 'microservices', 'statistics', 'sql')",Bachelor's in Computer Science,2,Java Backend Developer
1,"('agile', 'data analysis', 'precision', 'problem solving', 'scala', 'research', 'business development', 'microbiology', 'laboratory work')",Master's in Microbiology,3,Microbiologist
2,"('react', 'customer service', 'technical knowledge', 'plumbing systems', 'problem solving', 'postgresql', 'code knowledge', 'creativity', 'safety', 'ios')",Apprenticeship,2,Plumber
3,"('mysql', 'query optimization', 'symfony', 'terraform', 'php', 'html/css', 'api development', 'financial analysis', 'web accessibility', 'laravel', 'c++')",Bachelor's in Computer Science,0,PHP Developer
4,"('problem solving', 'docker', 'creativity', 'scrum', 'ansible', 'communication', 'team leadership', 'design principles', 'artistic direction', 'visual communication')",Bachelor's in Design,3,Art Director
5,"('ci/cd', 'problem solving', 'database design', 'pytorch', 'deep learning', 'communication', 'executive support', 'discretion', 'organization', 'leadership support', 'creativity')",Administrative Certification,2,Executive Assistant
6,"('distributed systems', 'cql', 'cassandra', 'performance', 'nosql', 'scalability', 'business development', 'machine learning')",Bachelor's in Computer Science,3,Cassandra Developer
7,"('performance tuning', 'sql', 'etl', 'data integration', 'javascript', 'scikit-learn', 'kanban', 'web accessibility', 'gcp', 'informatica', 'data quality')",Bachelor's in IT,1,Informatica Developer
8,"('communication', 'swift', 'anatomy knowledge', 'exercise prescription', 'physical therapy', 'patient assessment', 'compassion', 'php', 'strategic planning')",PT License,4,Physical Therapist
9,"('postgresql', 'distributed systems', 'kanban', 'phoenix framework', 'functional programming', 'compliance', 'elixir', 'erlang', 'problem solving')",Bachelor's in Computer Science,5,Elixir Developer
10,"('statistics', 'research', 'deep learning', 'shell scripting', 'python', 'tensorflow', 'pytorch', 'network security')",Master's in Computer Science,6,Machine Learning Engineer
11,"('technical knowledge', 'safety', 'jenkins', 'attention to detail', 'equipment operation', 'graphic design', 'troubleshooting', 'problem solving', 'swift', 'broadcasting')",Associate in Broadcast Technology,1,Broadcast Technician
12,"('problem solving', 'web accessibility', 'communication', 'environmental knowledge', 'conservation', 'react native', 'swift', 'r', 'safety', 'law enforcement', 'microservices')",Bachelor's in Environmental Science,4,Conservation Officer
13,"('problem solving', 'clojure', 'lispyscript', 'concurrency', 'functional programming', 'java interop', 'node.js', 'presentation skills')",Bachelor's in Computer Science,4,Clojure Developer
14,"('account management', 'problem solving', 'client relations', 'python', 'communication', 'business acumen', 'technical knowledge', 'product knowledge')",Bachelor's in Computer Science,3,Technical Account Manager
15,"('creativity', 'scala', 'tableau', 'technical expertise', 'system design', 'it knowledge', 'communication', 'problem solving', 'project management')",IT Certification,3,IT Consultant
16,"('nosql', 'scalability', 'performance', 'cassandra', 'distributed systems', 'cql', 'perl', 'strategic planning', 'technical writing', 'penetration testing')",Bachelor's in Computer Science,3,Cassandra Developer
17,"('adobe creative suite', 'electrical systems', 'management', 'safety', 'problem solving', 'ios', 'financial analysis', 'project management', 'leadership', 'pytorch', 'regulatory knowledge')",Engineering License,5,Electrical Utilities Manager
18,"('aws', 'nail care', 'jenkins', 'artistry', 'sanitation', 'customer service', 'precision', 'communication', 'business acumen')",Beauty School,2,Nail Technician
19,"('business skills', 'health knowledge', 'leadership', 'responsive design', 'equipment', 'problem solving', 'livestock care', 'postgresql', 'network security')",Experience,1,Livestock Manager
20,"('problem solving', 'data management', 'django', 'visualization', 'serverless', 'sas', 'sql', 'statistical analysis')",Bachelor's in Statistics,3,SAS Programmer
21,"('creativity', 'app testing', 'software skills', 'rendering', 'html', 'texturing', '3d modeling', 'adobe creative suite', 'problem solving')",Bachelor's in 3D Art,2,3D Artist
22,"('deep learning', 'technical skills', 'facial treatment', 'skincare', 'communication', 'business development', 'mysql', 'customer service', 'react native', 'product knowledge')",Esthetics School,4,Esthetician
